fpl_id,player_name,full_name,team_code,position,price,selected_by_percent,form,points_per_game,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,fpl_team_id,short_name,team_name
207,Hannibal,Hannibal Mejbri,90,3,4.8,0.1,0.2,1.7,22,0,2,1,395,3,0,0,56.0,105.2,30.0,19.1,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0,,,
208,Koleosho,Luca Koleosho,90,3,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Espanyol on loan for the rest of the season.,0.0,,,
209,Laurent,Josh Laurent,90,3,4.8,0.0,0.8,1.5,21,0,0,0,693,2,0,0,95.4,42.4,36.0,17.4,a,,,,,
210,Tchaouna,Loum Tchaouna,90,3,4.9,0.0,0.8,2.1,29,1,1,2,653,1,0,0,79.0,59.6,72.0,21.1,a,,,,,
211,A.Ramsey,Aaron Ramsey,90,3,4.4,1.6,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Leicester City on loan for the rest of the season.,0.0,,,
212,Adewumi,Oluwaseun Adewumi,90,3,4.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Cercle Brugge on loan for the rest of the season.,0.0,,,
213,Banel,Jaydon Banel,90,3,4.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
214,Trésor,Mike Trésor Ndayishimiye,90,3,4.4,0.1,0.3,1.0,2,0,0,0,15,0,0,0,0.2,0.0,2.0,0.2,a,,,,,
215,Flemming,Zian Flemming,90,4,5.3,0.6,2.3,2.9,41,5,0,2,658,3,0,3,209.0,58.6,207.0,46.8,a,,,,,
216,Amdouni,Zeki Amdouni,90,4,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,i,Knee injury - Expected back 25 Apr,0.0,,,
217,Foster,Lyle Foster,90,4,4.9,0.9,1.2,2.8,36,2,1,3,866,2,0,4,128.4,107.0,127.0,35.8,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0,,,
218,Barnes,Ashley Barnes,90,4,4.3,1.2,0.0,1.0,1,0,0,0,7,0,0,0,0.2,0.3,0.0,0.1,a,,,,,
219,Obafemi,Michael Obafemi,90,4,4.4,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined VfL Bochum  on loan for the rest of the season.,0.0,,,
470,Dúbravka,Martin Dúbravka,90,1,4.0,33.4,1.5,2.7,46,0,0,2,1530,0,0,2,446.2,0.0,0.0,44.8,a,,100.0,,,
676,Ugochukwu,Lesley Ugochukwu,90,3,5.0,0.1,2.5,3.1,49,3,1,2,961,0,1,5,208.4,83.6,150.0,44.0,a,,100.0,,,
680,Broja,Armando Broja,90,4,5.2,0.2,2.2,1.7,19,1,0,0,311,0,0,2,59.2,20.5,142.0,22.4,a,,100.0,,,
722,Florentino,Florentino Ibrain Morris Luís,90,3,5.0,0.0,1.8,3.2,41,0,1,2,1009,1,0,0,209.0,114.8,31.0,35.7,a,,,,,
66,Neto,Norberto Murara Neto,91,1,4.5,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Botafogo permanently.,0.0,,,
67,Petrović,Đorđe Petrović,91,1,4.5,5.4,2.3,3.2,55,0,0,5,1530,1,0,1,378.2,0.0,0.0,38.0,a,,,,,
68,Dennis,Will Dennis,91,1,4.0,0.9,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
69,McKenna,Callan McKenna,91,1,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
70,Paulsen,Alex Paulsen,91,1,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Lechia Gdansk on loan for the rest of the season.,0.0,,,
71,Zabarnyi,Illia Zabarnyi,91,2,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Paris Saint-Germain permanently.,0.0,,,
72,Senesi,Marcos Senesi Barón,91,2,4.9,16.7,2.5,4.8,76,0,3,5,1398,6,0,6,563.4,246.5,69.0,87.9,a,,100.0,,,
73,Smith,Adam Smith,91,2,4.4,0.2,1.5,2.4,19,0,1,2,476,1,0,0,53.6,28.3,14.0,9.5,a,,100.0,,,
74,Truffert,Adrien Truffert,91,2,4.5,2.3,2.7,3.6,61,0,1,5,1502,3,0,7,358.4,276.4,75.0,70.9,a,,,,,
75,Akinmboni,Matai Akinmboni,91,2,3.8,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,d,Muscle injury - 25% chance of playing,25.0,,,
76,Bevan,Owen Bevan,91,2,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
77,Hill,James Hill,91,2,3.9,0.7,0.3,2.1,19,0,0,2,302,1,0,0,47.2,5.4,43.0,9.6,a,,,,,
78,J.Araujo,Julián Araujo Zúñiga,91,2,3.8,0.7,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,100.0,,,
79,Mepham,Chris Mepham,91,2,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined West Bromwich Albion permanently.,0.0,,,
80,Soler,Julio Soler Barreto,91,2,4.0,0.2,0.2,1.0,2,0,0,0,21,0,0,0,0.6,1.8,2.0,0.4,a,,100.0,,,
81,Kluivert,Justin Kluivert,91,3,7.0,0.9,1.8,1.9,29,1,0,4,706,3,0,1,90.4,200.8,69.0,35.9,a,,100.0,,,
82,Semenyo,Antoine Semenyo,91,3,7.7,47.1,4.0,6.2,99,8,4,5,1440,4,0,12,457.4,311.6,475.0,124.6,a,,100.0,,,
84,Tavernier,Marcus Tavernier,91,3,5.6,3.2,3.5,4.4,75,4,2,6,1336,1,0,8,319.6,360.8,268.0,95.0,a,,,,,
85,Adams,Tyler Adams,91,3,5.0,0.3,1.8,3.3,50,2,1,4,1196,5,0,3,266.2,74.0,105.0,44.7,i,Knee injury - Expected back 21 Feb,0.0,,,
86,Brooks,David Brooks,91,3,5.0,0.2,0.7,1.7,26,0,1,4,718,6,0,1,98.2,189.8,233.0,50.7,a,,100.0,,,
87,Christie,Ryan Christie,91,3,4.9,0.1,0.2,1.6,18,1,1,0,287,1,0,0,79.4,58.0,84.0,22.3,a,,100.0,,,
88,Cook,Lewis Cook,91,3,4.9,0.0,0.3,1.4,11,0,0,0,304,0,1,0,68.2,105.8,8.0,18.4,a,,100.0,,,
89,Philip,Philip Billing,91,3,4.9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Midtjylland permanently.,0.0,,,
